Disease,Locality,Latitude,Longitude,Reported Cases,Severity,Source,Date
COVID-19,Yelahanka,12.841267,77.706835,212,Medium,CDC,2024-03-04
Tuberculosis,Jayanagar,13.059991,77.675688,288,High,Local Hospital,2024-03-11
COVID-19,Dasarahalli,12.826745,77.692329,212,Medium,Local Hospital,2024-10-15
Zika Virus,Chickpet,13.038571,77.598243,474,High,CDC,2024-07-12
Zika Virus,Electronic City,12.890435,77.527298,425,Medium,CDC,2024-09-27
Zika Virus,Nagarbhavi,13.056912,77.689419,77,Low,WHO,2024-07-08
COVID-19,Lalbagh,12.98395,77.708798,31,Medium,WHO,2024-03-02
Dengue,RT Nagar,13.110851,77.701188,346,High,Local Hospital,2024-02-10
Swine Flu,Hennur,12.944823,77.689967,158,High,User Report,2024-08-16
Zika Virus,MG Road,13.116271,77.627036,258,Low,CDC,2024-01-22
Hepatitis,Electronic City,13.1998,77.519514,120,Low,User Report,2024-10-19
Zika Virus,Gandhinagar,13.193746,77.538783,407,Low,Local Hospital,2024-02-26
Zika Virus,Jayanagar,12.949605,77.725739,113,Medium,Local Hospital,2024-06-24
COVID-19,Bommanahalli,13.010034,77.784212,129,High,Local Hospital,2024-07-15
Hepatitis,Majestic,13.100413,77.500455,411,High,WHO,2024-05-15
Hepatitis,Ramamurthy Nagar,12.949934,77.592446,173,Medium,CDC,2024-10-08
COVID-19,Magadi Road,13.092017,77.532974,336,Medium,HealthMap,2024-09-17
Zika Virus,MG Road,12.848319,77.73723,136,High,CDC,2024-09-23
Malaria,Domlur,12.804831,77.752256,174,Medium,User Report,2024-06-22
Malaria,HSR Layout,13.041786,77.756328,78,Low,User Report,2024-03-26
Zika Virus,Koramangala,12.992996,77.662747,109,High,Local Hospital,2024-04-08
Zika Virus,Magadi Road,13.179606,77.724998,276,High,Local Hospital,2024-07-04
COVID-19,Mysore Road,12.897468,77.750924,222,Low,WHO,2024-04-20
Malaria,Banaswadi,13.177267,77.623467,429,Medium,CDC,2024-12-14
Dengue,HBR Layout,13.15411,77.764525,17,Low,WHO,2024-09-12
Tuberculosis,Yelahanka,13.159675,77.729954,323,Medium,Local Hospital,2024-05-07
Zika Virus,BTM Layout,12.991866,77.691685,136,Low,CDC,2024-06-02
Dengue,Ramamurthy Nagar,13.15662,77.530367,170,Low,CDC,2024-05-19
Zika Virus,Gandhinagar,12.848325,77.793566,17,Low,HealthMap,2024-06-22
Dengue,Banashankari,12.820026,77.622041,97,Low,User Report,2024-07-24
Hepatitis,Electronic City,13.078497,77.588052,161,Low,User Report,2024-04-26
Cholera,Kasturi Nagar,13.021687,77.507959,103,Low,HealthMap,2024-10-30
Cholera,Domlur,12.885598,77.587914,248,Medium,CDC,2024-11-28
Zika Virus,Wilson Garden,13.197017,77.620484,160,High,WHO,2024-10-31
Dengue,Marathahalli,13.032186,77.533695,293,Medium,CDC,2024-09-20
Dengue,Banashankari,12.822351,77.60763,440,High,HealthMap,2024-05-25
Malaria,Ramamurthy Nagar,13.15522,77.776081,469,Low,Local Hospital,2024-08-07
COVID-19,JP Nagar,12.934778,77.504193,149,Low,WHO,2024-06-20
Zika Virus,Kengeri,12.962226,77.566113,354,Low,WHO,2024-07-16
Dengue,Hebbal,13.020447,77.789291,172,High,Local Hospital,2024-08-07
Dengue,Banashankari,13.044137,77.715801,472,High,Local Hospital,2024-11-18
Malaria,RT Nagar,12.803655,77.6811,225,Low,CDC,2024-04-27
Cholera,Malleshwaram,13.089028,77.513937,161,High,HealthMap,2024-08-25
Malaria,Hulimavu,13.169667,77.798987,222,Low,HealthMap,2024-12-22
Dengue,Koramangala,13.171715,77.554509,401,Low,HealthMap,2024-10-27
Zika Virus,Shivajinagar,12.910033,77.78901,354,Medium,User Report,2024-04-11
COVID-19,KR Puram,12.913595,77.69426,446,Low,CDC,2024-07-23
Tuberculosis,Devanahalli,12.993269,77.556901,215,High,Local Hospital,2024-05-16
Hepatitis,HSR Layout,12.938778,77.709767,246,Medium,Local Hospital,2024-03-05
Hepatitis,Rajajinagar,12.817327,77.77464,339,Medium,WHO,2024-09-09
Hepatitis,Hoodi,12.846645,77.550438,477,Low,WHO,2024-04-18
Malaria,Hennur,12.815284,77.624482,334,Low,User Report,2024-12-08
Malaria,Wilson Garden,12.981489,77.795548,74,Low,HealthMap,2024-09-07
Zika Virus,Bommanahalli,13.027197,77.641299,498,Medium,Local Hospital,2024-12-06
Tuberculosis,Rajajinagar,13.133188,77.706775,460,High,WHO,2024-06-12
Zika Virus,Kanakapura Road,13.179469,77.705636,166,High,CDC,2024-02-10
Hepatitis,Basavanagudi,12.882876,77.798691,431,Medium,User Report,2024-01-24
Cholera,Indiranagar,13.013083,77.514774,107,Low,WHO,2024-12-26
Dengue,Jayanagar,12.841653,77.553431,463,Low,WHO,2024-01-23
Cholera,Basavanagudi,12.943424,77.571827,340,Medium,HealthMap,2024-05-25
Hepatitis,Sarjapur Road,12.977069,77.501318,465,Low,CDC,2024-04-17
Zika Virus,MG Road,13.125062,77.760188,156,Low,Local Hospital,2024-11-01
Swine Flu,KR Puram,13.1148,77.690767,279,Medium,CDC,2024-10-30
Malaria,Kanakapura Road,12.924254,77.695718,91,Medium,WHO,2024-07-14
COVID-19,Hennur,12.830846,77.544472,411,High,WHO,2024-06-11
Tuberculosis,JP Nagar,12.957613,77.590155,192,Low,Local Hospital,2024-04-21
Swine Flu,KR Puram,12.862782,77.500327,22,Medium,HealthMap,2024-07-15
Tuberculosis,Peenya,13.105335,77.689358,253,Medium,HealthMap,2024-09-18
Cholera,Majestic,12.809199,77.515198,487,Low,CDC,2024-06-26
Dengue,Sahakar Nagar,13.080573,77.779086,295,High,CDC,2024-09-11
Malaria,Bommanahalli,12.930468,77.655548,201,Medium,Local Hospital,2024-12-11
Malaria,Whitefield,12.872887,77.533732,176,High,WHO,2024-11-24
Cholera,Sarjapur Road,12.966946,77.693337,15,Medium,Local Hospital,2024-05-22
Dengue,HBR Layout,12.986858,77.795225,267,Medium,Local Hospital,2024-06-25
Dengue,Dasarahalli,12.925037,77.570362,265,High,HealthMap,2024-11-06
Hepatitis,Bommanahalli,12.903797,77.55847,222,Low,CDC,2024-10-26
COVID-19,HBR Layout,13.050309,77.638303,101,High,CDC,2024-06-23
Swine Flu,Malleshwaram,12.940795,77.585337,98,High,Local Hospital,2024-03-31
Tuberculosis,HSR Layout,13.007621,77.664199,339,Medium,User Report,2024-03-23
Zika Virus,Kammanahalli,13.01144,77.576481,238,Low,Local Hospital,2024-07-21
Malaria,Indiranagar,13.054979,77.660237,405,Low,Local Hospital,2024-09-01
Hepatitis,Kadugodi,12.805873,77.590315,368,Medium,Local Hospital,2024-02-18
Cholera,Sahakar Nagar,13.012617,77.610687,54,Low,CDC,2024-04-20
Swine Flu,Basavanagudi,12.848182,77.738844,120,Low,User Report,2024-04-20
Hepatitis,Vijayanagar,13.013475,77.523426,54,Low,Local Hospital,2024-02-11
Cholera,Rajajinagar,12.936957,77.643404,384,Low,User Report,2024-09-17
Hepatitis,KR Market,13.094024,77.638237,442,Low,WHO,2024-11-04
Dengue,KR Market,13.011765,77.730444,280,High,User Report,2024-08-08
COVID-19,Kammanahalli,12.920486,77.612777,416,Medium,User Report,2024-05-05
Malaria,Yelahanka,13.014191,77.589859,457,High,Local Hospital,2024-07-20
Swine Flu,Kadugodi,12.985005,77.714281,63,Medium,Local Hospital,2024-01-21
Tuberculosis,Chickpet,13.048449,77.553361,163,Medium,CDC,2024-11-04
Tuberculosis,Hulimavu,12.850957,77.636189,95,Medium,Local Hospital,2024-12-22
COVID-19,Whitefield,12.985512,77.754478,114,High,HealthMap,2024-07-11
COVID-19,BTM Layout,12.82704,77.634212,216,High,HealthMap,2024-03-24
Malaria,Bellandur,12.9341,77.648642,350,High,User Report,2024-06-12
Swine Flu,Jayanagar,13.015185,77.565059,193,Medium,CDC,2024-10-17
Malaria,Hennur,13.024517,77.610512,399,Low,CDC,2024-03-16
Tuberculosis,Dasarahalli,12.883599,77.503727,211,Medium,Local Hospital,2024-07-21
Tuberculosis,Koramangala,12.970534,77.658572,16,Low,WHO,2024-11-14
Zika Virus,Banaswadi,13.130313,77.776139,298,High,HealthMap,2024-12-05
Malaria,Yelahanka,12.880591,77.645284,276,Medium,Local Hospital,2024-03-17
Malaria,Banaswadi,12.993188,77.573837,482,High,Local Hospital,2024-11-21
Malaria,Kasturi Nagar,12.800453,77.507697,403,High,Local Hospital,2024-07-28
Zika Virus,Vijayanagar,12.897709,77.552112,12,Low,WHO,2024-07-28
COVID-19,Kengeri,13.168409,77.79605,292,Low,Local Hospital,2024-02-29
Swine Flu,Sarjapur Road,12.962153,77.548198,66,Medium,HealthMap,2024-06-28
Dengue,Ramamurthy Nagar,12.821952,77.748588,195,High,User Report,2024-02-08
Zika Virus,Bommanahalli,13.130816,77.512881,412,Low,HealthMap,2024-08-12
Zika Virus,Banashankari,13.040094,77.593363,415,Low,Local Hospital,2024-07-21
Swine Flu,Ramamurthy Nagar,13.109861,77.595954,242,High,WHO,2024-10-23
Cholera,Devanahalli,13.121677,77.523462,262,Low,Local Hospital,2024-06-05
Zika Virus,Domlur,13.009055,77.750984,284,Medium,WHO,2024-09-17
Hepatitis,Kadugodi,13.06074,77.579847,333,Medium,CDC,2024-03-22
Zika Virus,Wilson Garden,13.157392,77.697508,251,High,HealthMap,2024-09-28
Swine Flu,Domlur,12.854141,77.532296,223,Low,Local Hospital,2024-08-14
Cholera,KR Puram,13.055716,77.739219,425,High,WHO,2024-02-25
Cholera,Hoodi,13.158364,77.527303,36,Low,WHO,2024-11-19
Swine Flu,Wilson Garden,12.997465,77.745048,433,High,CDC,2024-09-24
Hepatitis,Malleshwaram,13.15422,77.638719,372,Medium,User Report,2024-02-02
Zika Virus,Whitefield,13.132595,77.692553,65,Low,WHO,2024-01-24
Zika Virus,Hennur,13.0327,77.603031,420,Low,Local Hospital,2024-12-18
Cholera,Gandhinagar,12.972061,77.659206,108,Low,User Report,2024-04-03
Hepatitis,TC Palya,13.001095,77.540807,378,Low,CDC,2024-02-27
Dengue,Malleshwaram,13.133549,77.508632,19,High,CDC,2024-10-31
Zika Virus,Yelahanka,12.872095,77.798942,350,High,CDC,2024-01-24
COVID-19,Sarjapur Road,13.053665,77.62988,464,High,CDC,2024-11-12
Cholera,Gandhinagar,13.055677,77.759387,224,Low,WHO,2024-08-21
Hepatitis,RT Nagar,13.116431,77.598371,241,High,HealthMap,2024-09-28
Dengue,Electronic City,12.947137,77.530196,490,High,Local Hospital,2024-07-16
Cholera,Hoodi,13.151596,77.794777,12,High,Local Hospital,2024-09-27
Tuberculosis,Majestic,12.905465,77.645051,94,Medium,Local Hospital,2024-06-30
Malaria,Dasarahalli,13.029447,77.712434,130,Low,HealthMap,2024-05-31
Malaria,KR Puram,13.031386,77.591627,207,High,HealthMap,2024-07-04
Dengue,Hoodi,12.918585,77.564666,433,Medium,WHO,2024-04-15
COVID-19,Gandhinagar,12.906483,77.5987,181,Low,User Report,2024-06-04
Tuberculosis,Magadi Road,12.819525,77.504887,372,Medium,User Report,2024-12-02
Dengue,Hulimavu,13.16,77.797954,229,Low,HealthMap,2024-08-06
Swine Flu,Whitefield,13.141659,77.562806,28,Medium,HealthMap,2024-02-26
Tuberculosis,Kadugodi,12.849554,77.704817,334,Low,CDC,2024-03-23
Malaria,Indiranagar,12.810631,77.758706,249,Medium,HealthMap,2024-01-22
Dengue,JP Nagar,13.13697,77.637296,74,High,User Report,2024-03-28
Dengue,Domlur,12.826464,77.676122,170,Medium,User Report,2024-08-09
Hepatitis,Kasturi Nagar,13.12628,77.558417,377,High,HealthMap,2024-07-03
Swine Flu,Shivajinagar,13.171362,77.790278,84,Low,WHO,2024-01-26
Tuberculosis,Kengeri,13.027768,77.62318,173,High,HealthMap,2024-08-31
Tuberculosis,MG Road,12.991701,77.719203,156,Medium,User Report,2024-03-05
Cholera,Electronic City,13.115793,77.679196,83,Medium,User Report,2024-09-19
Malaria,JP Nagar,13.02986,77.694102,289,Low,HealthMap,2024-02-22
COVID-19,Shivajinagar,13.154962,77.546536,283,Low,CDC,2024-12-24
Dengue,Kanakapura Road,13.19586,77.732141,404,Medium,User Report,2024-12-12
COVID-19,Magadi Road,12.981003,77.611779,208,Medium,HealthMap,2024-04-29
Dengue,Koramangala,13.167688,77.548817,29,Low,HealthMap,2024-03-15
Dengue,Kammanahalli,12.908221,77.639471,238,Low,CDC,2024-10-08
Hepatitis,Chickpet,12.97643,77.560082,487,Medium,CDC,2024-05-04
Malaria,Hulimavu,12.917089,77.587572,267,Low,User Report,2024-09-21
Malaria,Shivajinagar,13.065978,77.666285,135,Low,Local Hospital,2024-10-12
Malaria,Yelahanka,13.108706,77.567914,248,Medium,User Report,2024-09-09
Hepatitis,Ramamurthy Nagar,13.087103,77.684074,234,Low,WHO,2024-10-17
Zika Virus,Yelahanka,12.873416,77.634382,159,Low,Local Hospital,2024-04-11
Cholera,Nagarbhavi,13.191578,77.515455,22,Medium,User Report,2024-06-05
Cholera,Hebbal,12.828053,77.755836,308,High,User Report,2024-05-16
COVID-19,Bommanahalli,13.063271,77.605962,474,Medium,HealthMap,2024-02-02
COVID-19,Basavanagudi,13.13468,77.557349,144,Low,CDC,2024-09-01
Cholera,Wilson Garden,12.980465,77.740074,18,Low,Local Hospital,2024-08-07
COVID-19,Kasturi Nagar,12.817128,77.657834,262,High,Local Hospital,2024-04-24
Tuberculosis,Hennur,13.189192,77.588873,278,Medium,WHO,2024-09-18
Zika Virus,Domlur,12.830462,77.799061,192,High,CDC,2024-12-05
Zika Virus,Vijayanagar,12.901967,77.559602,245,Low,Local Hospital,2024-11-01
Tuberculosis,Magadi Road,13.078128,77.611525,447,Low,Local Hospital,2024-08-15
Dengue,Vijayanagar,13.145596,77.780457,443,High,WHO,2024-06-29
Hepatitis,Electronic City,12.948524,77.6853,154,Low,Local Hospital,2024-05-08
Tuberculosis,Peenya,13.102062,77.527829,13,Medium,Local Hospital,2024-10-07
Malaria,Basavanagudi,12.953004,77.650014,200,Low,WHO,2024-03-09
Hepatitis,Kengeri,13.06242,77.670762,343,Low,WHO,2024-08-24
Hepatitis,Magadi Road,12.832438,77.509505,207,Medium,CDC,2024-12-17
Tuberculosis,Malleshwaram,12.989806,77.502777,93,Low,WHO,2024-09-30
Tuberculosis,HBR Layout,13.053121,77.738959,269,Medium,Local Hospital,2024-05-20
Hepatitis,Peenya,12.85282,77.766817,458,High,Local Hospital,2024-02-04
Zika Virus,Bellandur,13.123512,77.665144,86,Low,User Report,2024-06-13
Zika Virus,Bellandur,12.833739,77.509479,455,Medium,WHO,2024-09-27
Cholera,Devanahalli,13.199908,77.510602,381,Low,HealthMap,2024-06-02
Swine Flu,Ulsoor,12.855928,77.716713,474,High,User Report,2024-10-16
Cholera,Basavanagudi,13.081084,77.564478,291,Low,Local Hospital,2024-09-28
Swine Flu,Magadi Road,12.991159,77.708204,186,Medium,Local Hospital,2024-06-08
Cholera,Kammanahalli,12.903604,77.751983,261,Medium,HealthMap,2024-05-10
COVID-19,Hulimavu,12.902602,77.545716,149,Medium,User Report,2024-09-19
Hepatitis,Ramamurthy Nagar,12.931291,77.655936,310,High,CDC,2024-09-06
Cholera,Ulsoor,12.937115,77.652012,334,High,HealthMap,2024-05-17
COVID-19,Vijayanagar,13.147093,77.622908,245,Medium,User Report,2024-06-09
Dengue,Jayanagar,13.098759,77.647897,38,Medium,User Report,2024-07-05
Malaria,Kadugodi,12.911916,77.715293,150,High,Local Hospital,2024-07-02
Cholera,BTM Layout,13.194466,77.719725,439,Medium,Local Hospital,2024-05-02
Hepatitis,Banashankari,13.101206,77.766955,450,High,Local Hospital,2024-09-10
Hepatitis,Marathahalli,12.958848,77.643144,128,High,Local Hospital,2024-02-21
Hepatitis,HSR Layout,13.191908,77.709031,65,Low,User Report,2024-03-21
Hepatitis,Majestic,12.880096,77.650902,179,High,CDC,2024-02-05
Cholera,HSR Layout,13.098592,77.595057,60,Low,CDC,2024-11-10
Zika Virus,Rajajinagar,13.070581,77.67805,346,Low,CDC,2024-07-31
Cholera,Kammanahalli,12.846842,77.551745,294,Low,HealthMap,2024-05-29
Dengue,Marathahalli,13.195584,77.582462,389,High,User Report,2024-08-10
Zika Virus,Jayanagar,13.001711,77.662835,184,High,User Report,2024-03-13
Tuberculosis,Magadi Road,12.921464,77.511401,179,Low,HealthMap,2024-08-25
Cholera,Kammanahalli,12.97255,77.573863,116,Medium,HealthMap,2024-03-01
Cholera,KR Puram,12.869916,77.573399,13,Low,HealthMap,2024-10-21
Tuberculosis,Ulsoor,13.072295,77.597157,110,Low,HealthMap,2024-02-08
Tuberculosis,Kasturi Nagar,12.879736,77.714423,133,Medium,HealthMap,2024-04-14
Malaria,Electronic City,13.121069,77.571082,327,Medium,CDC,2024-04-14
Swine Flu,TC Palya,12.99946,77.775786,146,Medium,CDC,2024-12-10
Tuberculosis,Hulimavu,13.023836,77.524097,142,High,User Report,2024-08-20
Dengue,Majestic,13.055108,77.786184,294,High,Local Hospital,2024-12-31
Hepatitis,Peenya,13.173253,77.722733,68,Low,CDC,2024-01-29
Cholera,KR Puram,12.933772,77.770999,33,Low,WHO,2024-12-19
Swine Flu,Dasarahalli,13.02144,77.509011,188,High,WHO,2024-06-24
Swine Flu,Ramamurthy Nagar,13.15302,77.72333,295,Low,HealthMap,2024-10-11
Dengue,Kanakapura Road,12.820667,77.533587,225,Medium,User Report,2024-04-17
Swine Flu,RT Nagar,13.181299,77.52578,313,Low,HealthMap,2024-01-02
Cholera,Kanakapura Road,12.866027,77.621111,12,Medium,User Report,2024-12-01
Dengue,HBR Layout,12.87116,77.511942,258,Low,HealthMap,2024-01-10
Dengue,TC Palya,12.809127,77.672284,150,High,WHO,2024-04-03
Swine Flu,Basavanagudi,13.062856,77.794016,51,High,Local Hospital,2024-10-22
Hepatitis,BTM Layout,13.090139,77.603632,410,High,Local Hospital,2024-09-15
Cholera,Mysore Road,13.019324,77.658103,221,Medium,WHO,2024-02-20
Swine Flu,Kasturi Nagar,13.171026,77.670508,40,High,User Report,2024-07-28
Tuberculosis,Varthur,13.094862,77.618819,91,Medium,WHO,2024-06-28
Tuberculosis,Bellandur,12.950071,77.679149,473,Medium,Local Hospital,2024-12-15
Malaria,KR Puram,12.931127,77.665589,199,Medium,WHO,2024-01-18
Hepatitis,Hoodi,12.92677,77.514507,72,High,HealthMap,2024-04-11
Malaria,Nagarbhavi,12.987787,77.507675,430,High,CDC,2024-07-13
Zika Virus,Dasarahalli,13.061825,77.757903,202,Low,HealthMap,2024-08-11
Hepatitis,Chickpet,13.04932,77.775401,310,Medium,Local Hospital,2024-02-17
Swine Flu,Chickpet,13.151171,77.562037,117,High,CDC,2024-05-12
Hepatitis,Sarjapur Road,13.023098,77.51117,21,High,Local Hospital,2024-10-06
COVID-19,Nagarbhavi,13.161107,77.786603,284,High,HealthMap,2024-09-03
Dengue,Koramangala,12.987788,77.792932,54,Low,Local Hospital,2024-03-03
COVID-19,Wilson Garden,12.8567,77.709237,350,Low,WHO,2024-06-26
Swine Flu,Varthur,13.051504,77.585328,488,High,HealthMap,2024-10-04
Hepatitis,Whitefield,13.166047,77.585341,77,Low,Local Hospital,2024-10-12
Swine Flu,Vijayanagar,13.011782,77.620141,23,Low,CDC,2024-10-13
Tuberculosis,JP Nagar,12.979101,77.625273,304,Low,WHO,2024-09-18
Cholera,Mysore Road,12.823661,77.598011,73,Medium,WHO,2024-02-24
Malaria,TC Palya,12.850959,77.721128,163,Medium,WHO,2024-12-30
Swine Flu,MG Road,13.099027,77.652311,278,High,HealthMap,2024-03-05
COVID-19,Devanahalli,13.102269,77.786579,107,High,HealthMap,2024-02-11
Zika Virus,Kadugodi,12.8533,77.78042,368,High,WHO,2024-12-06
Malaria,BTM Layout,13.129978,77.611032,449,Medium,CDC,2024-06-14
Tuberculosis,MG Road,12.809938,77.739467,129,Medium,HealthMap,2024-05-17
COVID-19,Vijayanagar,13.071417,77.573888,100,Low,WHO,2024-04-18
Dengue,Peenya,12.989243,77.550924,442,High,Local Hospital,2024-10-15
Malaria,MG Road,12.989018,77.792742,469,Medium,CDC,2024-01-15
Tuberculosis,Rajajinagar,12.82502,77.605181,139,Medium,User Report,2024-08-06
Tuberculosis,Malleshwaram,13.157221,77.683081,360,High,CDC,2024-12-03
COVID-19,Yelahanka,13.045223,77.759561,171,High,Local Hospital,2024-07-15
Cholera,Dasarahalli,12.927918,77.654859,183,Low,HealthMap,2024-07-30
COVID-19,Whitefield,12.982735,77.735632,14,Medium,Local Hospital,2024-10-10
COVID-19,Kengeri,12.954603,77.561236,85,Medium,CDC,2024-12-07
Dengue,Ramamurthy Nagar,13.128595,77.617233,438,Low,Local Hospital,2024-05-04
Zika Virus,MG Road,13.122913,77.674374,155,High,HealthMap,2024-06-07
Tuberculosis,Sarjapur Road,13.126592,77.743657,159,Low,Local Hospital,2024-11-20
COVID-19,Kammanahalli,13.061409,77.59474,238,High,Local Hospital,2024-04-18
Hepatitis,Rajajinagar,13.149892,77.705855,425,High,User Report,2024-01-25
Malaria,Kadugodi,12.80674,77.606916,61,High,User Report,2024-06-06
Cholera,Kadugodi,12.986785,77.608939,90,High,CDC,2024-05-08
Zika Virus,Hoodi,12.837775,77.626421,329,High,User Report,2024-09-11
Cholera,Koramangala,12.857136,77.684604,362,Medium,CDC,2024-04-21
Swine Flu,Jayanagar,13.07853,77.668481,469,High,CDC,2024-01-06
COVID-19,Indiranagar,12.823056,77.693894,391,Low,Local Hospital,2024-08-01
Dengue,Sahakar Nagar,12.874065,77.601813,413,Low,CDC,2024-03-11
Dengue,Kammanahalli,12.923117,77.641996,442,Medium,User Report,2024-08-08
Tuberculosis,RT Nagar,12.828027,77.661406,71,High,WHO,2024-04-28
Tuberculosis,MG Road,13.112605,77.763736,407,High,CDC,2024-12-23
Malaria,Rajajinagar,12.823404,77.700599,209,Low,CDC,2024-12-22
COVID-19,Chickpet,13.191293,77.578065,101,High,WHO,2024-03-30
COVID-19,Whitefield,13.160691,77.742353,292,High,HealthMap,2024-04-24
Dengue,Banaswadi,13.17838,77.67499,325,Low,WHO,2024-04-12
Malaria,Whitefield,12.973473,77.593267,341,Low,Local Hospital,2024-06-15
Cholera,Kengeri,13.081408,77.610997,355,Low,CDC,2024-01-19
Hepatitis,Marathahalli,12.984387,77.674733,300,High,Local Hospital,2024-08-16
Swine Flu,Gandhinagar,12.896041,77.519648,300,High,WHO,2024-12-04
Cholera,HSR Layout,12.825737,77.584118,371,Low,Local Hospital,2024-04-02
Tuberculosis,Kammanahalli,12.884276,77.533175,289,Medium,Local Hospital,2024-02-08
Dengue,Rajajinagar,13.06342,77.782264,82,Medium,WHO,2024-01-20
COVID-19,Wilson Garden,13.166655,77.599836,384,Low,HealthMap,2024-01-17
Zika Virus,Wilson Garden,13.01334,77.690985,77,High,Local Hospital,2024-03-25
Swine Flu,Bellandur,13.030194,77.56038,134,Medium,User Report,2024-10-21
Zika Virus,Peenya,12.958327,77.704029,127,Medium,WHO,2024-12-04
Dengue,Banaswadi,13.003566,77.594401,457,Low,WHO,2024-08-16
Zika Virus,Bellandur,12.847786,77.667218,411,High,HealthMap,2024-05-10
Swine Flu,HSR Layout,12.89709,77.711392,84,Medium,WHO,2024-07-06
Cholera,Koramangala,12.872713,77.755012,447,Low,WHO,2024-06-12
COVID-19,Shivajinagar,13.163781,77.572068,299,Medium,CDC,2024-10-06
Hepatitis,Bellandur,13.165541,77.619498,111,High,User Report,2024-09-29
Swine Flu,JP Nagar,12.974295,77.71914,338,Low,HealthMap,2024-12-11
Swine Flu,Nagarbhavi,12.981645,77.606712,346,Medium,Local Hospital,2024-06-30
Hepatitis,Dasarahalli,12.948932,77.764201,287,Low,WHO,2024-11-20
Tuberculosis,HSR Layout,12.813468,77.566436,419,Low,Local Hospital,2024-07-07
Hepatitis,Mysore Road,13.009228,77.712787,495,Medium,User Report,2024-04-06
Cholera,Yelahanka,13.062281,77.576408,475,Low,WHO,2024-01-11
Cholera,Majestic,13.053203,77.747609,450,Low,WHO,2024-07-10
Tuberculosis,Nagarbhavi,13.105678,77.552985,232,High,Local Hospital,2024-02-22
Swine Flu,BTM Layout,13.131645,77.629964,111,High,User Report,2024-01-02
Cholera,Kanakapura Road,13.111297,77.762682,20,Low,WHO,2024-04-18
Tuberculosis,Koramangala,13.036261,77.794373,28,Medium,WHO,2024-10-25
Malaria,Jayanagar,12.858105,77.682611,321,High,Local Hospital,2024-03-22
Swine Flu,Lalbagh,13.131931,77.774473,354,Medium,Local Hospital,2024-12-17
COVID-19,Whitefield,12.948067,77.534358,370,High,CDC,2024-10-21
Tuberculosis,Ulsoor,12.922419,77.66866,413,Low,CDC,2024-02-12
Swine Flu,Devanahalli,12.963768,77.566206,295,Low,HealthMap,2024-06-28
Swine Flu,Bellandur,12.81105,77.680591,93,Medium,WHO,2024-07-25
Cholera,Jayanagar,13.007636,77.684658,436,Medium,WHO,2024-03-29
COVID-19,RT Nagar,13.038885,77.549291,433,Medium,HealthMap,2024-06-13
Zika Virus,Indiranagar,12.844912,77.717429,78,Low,CDC,2024-08-08
COVID-19,Sahakar Nagar,13.042913,77.79452,219,Medium,Local Hospital,2024-11-04
Swine Flu,Vijayanagar,12.95971,77.680584,158,Medium,Local Hospital,2024-10-22
COVID-19,Jayanagar,13.158859,77.755577,123,Medium,HealthMap,2024-06-22
Malaria,Hoodi,12.870279,77.693779,39,Medium,CDC,2024-05-04
Dengue,Hennur,13.098359,77.762935,361,Low,CDC,2024-06-05
Cholera,Devanahalli,12.978651,77.559467,448,Medium,CDC,2024-09-25
Swine Flu,Whitefield,13.163512,77.500408,363,Medium,User Report,2024-09-17
Hepatitis,Indiranagar,12.919921,77.525599,462,Medium,CDC,2024-07-21
Zika Virus,Kadugodi,13.018599,77.716308,333,Low,User Report,2024-09-27
Dengue,KR Market,13.145195,77.663849,275,Medium,CDC,2024-08-18
Cholera,Banaswadi,13.038329,77.508174,379,Low,Local Hospital,2024-04-29
Dengue,Vijayanagar,13.172376,77.603948,294,High,Local Hospital,2024-06-15
COVID-19,Indiranagar,13.030468,77.687804,214,High,CDC,2024-02-13
Swine Flu,Malleshwaram,13.152532,77.714888,475,High,CDC,2024-03-27
Tuberculosis,JP Nagar,13.035145,77.706593,471,Low,CDC,2024-10-29
Swine Flu,Majestic,12.908676,77.691077,481,Low,User Report,2024-07-14
Dengue,Ramamurthy Nagar,12.8009,77.641821,16,Low,WHO,2024-07-15
Malaria,RT Nagar,13.005305,77.634308,426,High,CDC,2024-11-13
Zika Virus,Electronic City,13.070278,77.629351,72,Low,CDC,2024-08-02
Swine Flu,KR Puram,13.042537,77.668568,312,Low,Local Hospital,2024-08-26
Cholera,Marathahalli,12.853185,77.786484,331,High,Local Hospital,2024-03-06
Zika Virus,Sarjapur Road,12.833982,77.617174,270,Medium,CDC,2024-03-18
Zika Virus,Basavanagudi,13.066248,77.543174,173,Medium,Local Hospital,2024-05-01
Hepatitis,Nagarbhavi,12.951953,77.714158,20,Medium,CDC,2024-03-13
Tuberculosis,Marathahalli,12.930402,77.785171,340,Medium,WHO,2024-02-13
Tuberculosis,HSR Layout,13.005102,77.68592,270,High,Local Hospital,2024-09-25
Hepatitis,Hulimavu,12.863198,77.591825,145,High,User Report,2024-02-18
Zika Virus,Ramamurthy Nagar,12.983712,77.799936,207,Medium,CDC,2024-10-22
COVID-19,Kadugodi,12.818987,77.705343,227,Low,WHO,2024-04-29
Dengue,Ulsoor,13.150073,77.589736,203,Medium,CDC,2024-10-06
COVID-19,Kammanahalli,12.960954,77.76296,490,High,Local Hospital,2024-01-22
Dengue,Hebbal,12.888681,77.520776,445,Low,Local Hospital,2024-11-11
